Province/State,Country/Region,Confirmed,Deaths,Recovered,Lat,Long
Hubei,Mainland China,67103,2803,33934,30.9756,112.2707
,South Korea,4335,28,30,36,128
,Italy,2036,52,149,43,12
,Iran,1501,66,291,32,53
Guangdong,Mainland China,1350,7,1059,23.3417,113.4244
Henan,Mainland China,1272,22,1205,33.88202,113.614
Zhejiang,Mainland China,1206,1,1069,29.1832,120.0934
Hunan,Mainland China,1018,4,887,27.6104,111.7088
Anhui,Mainland China,990,6,917,31.8257,117.2264
Jiangxi,Mainland China,935,1,850,27.614,115.7221
Shandong,Mainland China,758,6,460,36.3427,118.1498
Diamond Princess cruise ship,Others,705,6,10,35.4437,139.638
Jiangsu,Mainland China,631,0,543,32.9711,119.455
Chongqing,Mainland China,576,6,469,30.0572,107.874
Sichuan,Mainland China,538,3,386,30.6171,102.7103
Heilongjiang,Mainland China,480,13,356,47.862,127.7615
Beijing,Mainland China,414,8,282,40.1824,116.4142
Shanghai,Mainland China,337,3,292,31.202,121.4491
Hebei,Mainland China,318,6,296,38.0428,114.5149
Fujian,Mainland China,296,1,255,26.0789,117.9874
,Japan,274,6,32,36,138
Guangxi,Mainland China,252,2,192,23.8298,108.7881
Shaanxi,Mainland China,245,1,216,35.1917,108.8701
,France,191,3,12,47,2
Yunnan,Mainland China,174,2,168,24.974,101.487
Hainan,Mainland China,168,5,151,19.1959,109.7453
,Germany,159,0,16,51,9
Guizhou,Mainland China,146,2,114,26.8154,106.8748
Tianjin,Mainland China,136,3,111,39.3054,117.323
Shanxi,Mainland China,133,0,119,37.5777,112.2922
Liaoning,Mainland China,122,1,103,41.2956,122.6085
,Spain,120,0,2,40,-4
,Singapore,108,0,78,1.2833,103.8333
Hong Kong,Hong Kong,100,2,36,22.3,114.2
Jilin,Mainland China,93,1,83,43.6661,126.1923
Gansu,Mainland China,91,2,85,36.0611,103.8343
Xinjiang,Mainland China,76,3,66,41.1129,85.2401
Inner Mongolia,Mainland China,75,0,54,44.0935,113.9448
Ningxia,Mainland China,74,0,69,37.2692,106.1655
,Kuwait,56,0,0,29.5,47.75
,Bahrain,49,0,0,26.0275,50.55
Unassigned Location (From Diamond Princess),US,45,0,0,35.4437,139.638
,Thailand,43,1,31,15,101
,Switzerland,42,0,0,46.8182,8.2275
Taiwan,Taiwan,41,1,12,23.7,121
,UK,40,0,8,55,-3
,Malaysia,29,0,18,2.5,112.5
,Iraq,26,0,0,33,44
,Norway,25,0,0,60.472,8.4689
,United Arab Emirates,21,0,5,24,54
,Austria,18,0,0,47.5162,14.5501
Qinghai,Mainland China,18,0,18,35.7452,95.9956
,Netherlands,18,0,0,52.1326,5.2913
"Toronto, ON",Canada,17,0,2,43.6532,-79.3832
,Vietnam,16,0,16,16,108
,Sweden,15,0,0,63,16
"King County, WA",US,14,5,1,47.6062,-122.3321
,Lebanon,13,0,0,33.8547,35.8623
,Israel,10,0,1,31,35
Macau,Macau,10,0,8,22.1667,113.55
Queensland,Australia,9,0,1,-28.0167,153.4
